"","Country","WVS_year","WVS_E265_01","WVS_E265_02","WVS_E265_03","WVS_E265_04","WVS_E265_05","WVS_E265_06","WVS_E265_07","WVS_E265_08","WVS_E236","WVS_E069_04","WVS_E069_06","WVS_E069_17","WVS_E069_11","WVS_E069_12","WVS_E069_07","WVS_E069_08","WVS_E069_18","WVS_A068","WVS_A080_01","WVS_E025","WVS_E026","WVS_E027","WVS_E028"
"11","EL",2017,0.708218759547815,0.848680171884592,0.388743835219031,0.62151144559423,0.338248048568951,0.571606088847468,0.60516846581616,0.893226855959775,0.489077212806026,0.270938729623384,0.612227805695142,0.532712915961647,0.217894439740333,0.188258537962179,0.234829240756421,0.450782997762864,0.327716933445661,0.0518394648829431,0.042535446205171,0.379949452401011,0.317241379310345,0.433760683760684,0.420153714773698
"12","HR",2017,0.501690821256039,0.619418483904465,0.332853717026379,0.432545544066962,0.43691420331651,0.507865168539326,0.379775280898876,0.735724743777452,0.35404248815528,0.234983952315452,0.45225102319236,0.232807859264336,0.202174415914874,0.134022988505747,0.158458732330141,0.337454212454212,0.343321718931475,0.0781577110956036,0.118099231306778,0.726675881133379,0.400871459694989,0.412080057183703,0.31468023255814
"13","HU",2018,0.69562096195262,0.665919840677122,0.320143884892086,0.503782148260212,0.386473429951691,0.673902556681138,0.566387407971566,0.745640259093174,0.483256172839506,0.292847503373819,0.598039215686274,0.48236092265943,0.401005944215821,0.26183908045977,0.39728813559322,0.521867210514389,0.464401294498382,0.0178926441351889,0.0456349206349206,0.296358732299393,0.108917631041525,0.200473292765382,0.0721120984278879
"14","IT",2018,0.643358876117497,0.74724119810825,0.424628450106157,0.417842660178427,0.502609262883235,0.742620073400351,0.457914151576123,0.861013547415956,0.559622433097354,0.395908004778972,0.666518977994388,0.43850987432675,0.335132703553756,0.260472770795931,0.364480383348308,0.41834451901566,0.438500228623685,0.0155624722098711,0.0609159626500667,0.597000937207123,0.265952380952381,0.521687883074022,0.22235634958957
"15","LT",2018,0.618788819875776,0.741587301587302,0.573688592839301,0.585767790262172,0.462374354794893,0.4673173617273,0.615954415954416,0.865065243179122,0.537158073105786,0.540488276528886,0.606918238993711,0.50337584396099,0.445508100147275,0.315007429420505,0.355475330926594,0.475792141951838,0.573343848580442,0.0339943342776204,0.0304964539007092,0.404669260700389,0.295382165605096,0.323780015491867,0.170256835128418
"16","LV",2021,0.743698668932314,0.669756265018881,0.387096774193548,0.646814814814815,0.636477987421384,0.731870810481414,0.671153846153846,0.927443837279903,0.51352997476725,0.386340468909276,0.583524611068605,0.511128364389234,0.353957205465326,0.215364583333333,0.32890625,0.54514963880289,0.519129979035639,0.0225394440270473,0.0397897897897898,0.408108108108108,0.189669087974173,0.277117973079968,0.105887162714636
"17","NL",2022,0.876843657817109,0.782463664522278,0.691072999120492,0.827128238623993,0.667631731325999,0.709989484752892,0.844414292175486,0.905433006535948,0.677313823459434,0.414642375168691,0.589396220103696,0.58211709444724,0.376419505678023,0.317452272343301,0.391296687808316,0.409114997350291,0.410936654033568,0.0598802395209581,0.146706586826347,0.719937532535138,0.399722222222222,0.377221324717286,0.368466398621482
"18","PL",2017,0.715536723163842,0.817467797675149,0.301409260857061,0.586517552034793,0.517574692442882,0.691762621789194,0.632700632700633,0.848128019323671,0.514937106918239,0.373219373219373,0.539500509683996,0.401764234161989,0.325769431403234,0.217692512656541,0.301100628930818,0.437418683320323,0.475098814229249,0.0141158989598811,0.0438335809806835,0.538871951219512,0.184108527131783,0.322543792840823,0.13408913213448
"19","PT",2020,0.867217062263502,0.816229985443959,0.472851492268968,0.721192293711378,0.655778011942395,0.775079197465681,0.781674208144796,0.837837837837838,0.643139580862001,0.48981324278438,0.694976408548432,0.478471628172227,0.383642495784148,0.292682926829268,0.396193771626298,0.489991296779809,0.551222531723924,0.00420875420875421,0.0286195286195286,0.350921273031826,0.14715860899067,0.272344013490725,0.08424599831508
"20","RO",2018,0.493538974572739,0.702059496567506,0.527203711514129,0.526570048309179,0.46304866077689,0.478531073446328,0.508225878168075,0.770546318289786,0.492596787047523,0.389526542324247,0.50320970042796,0.444817300521998,0.269638290098648,0.203798392987582,0.242798353909465,0.350436681222707,0.475053681950234,0.0623624358033749,0.0671559633027523,0.308152580403889,0.103613994617455,0.271949404761905,0.124858543945681
"21","SE",2017,0.946376811594203,0.889385807990459,0.617864537119196,0.847721822541966,0.664619883040936,0.894937079309336,0.885585585585586,0.929763960852044,0.766647802301453,0.448587570621469,0.690295358649789,0.644062947067239,0.498710232158211,0.422356669547681,0.570858283433134,0.550341296928328,0.484874927283304,0.0849617672047579,0.259983007646559,0.83150800336984,0.514855687606112,0.536770921386306,0.161839863713799
"22","SI",2017,0.800935203740815,0.723112128146453,0.503288335064036,0.769444444444444,0.575696542463914,0.781365623948873,0.717490361023484,0.922998986828774,0.487022737022737,0.401188242651657,0.57567229518449,0.34797835084368,0.298664122137405,0.206863679694948,0.310657596371882,0.356611703847397,0.385846942042907,0.0429505135387488,0.239028944911298,0.533396946564885,0.321290944123314,0.354206500956023,0.214697406340058
"23","SK",2022,0.708894878706199,0.739784946236559,0.446976602856275,0.542919799498747,0.567791592658378,0.642512077294686,0.463383838383838,0.751786874593892,0.496638655462185,0.385336743393009,0.487716359575656,0.401470172462539,0.280123873873874,0.263157894736842,0.277824978759558,0.487397337864628,0.463967843812805,0.0876158382476832,0.105574324324324,0.632067510548523,0.305077452667814,0.361158432708688,0.314224137931034
