"","Country","FLE_507_Q7_6","FLE_507_Q7_7","FLE_507_Q7_8","FLE_507_Q8_1","FLE_507_Q8_2","FLE_507_Q8_3","FLE_507_Q1_1","FLE_507_Q3","FLE_507_Q4_1","FLE_507_Q4_2","FLE_507_Q4_3","FLE_507_Q4_4","FLE_507_Q4_5","FLE_507_Q4_6","FLE_507_Q5_1","FLE_507_Q5_2","FLE_507_Q7_2","FLE_507_Q7_4","FLE_507_Q7_5"
"15","IE",0.528437724982001,0.401433691756272,0.325130499627144,0.521768707482993,0.484848484848485,0.416835016835017,0.886880856760375,0.636942675159236,0.646711012564671,0.668981481481482,0.62570281124498,0.561602418745276,0.59922480620155,0.624493106244931,0.661594202898551,0.64029304029304,0.581232492997199,0.745808182427901,0.496945010183299
"16","IT",0.408247422680412,0.414336917562724,0.346462436177972,0.511247443762781,0.498628257887517,0.406098406098406,0.619047619047619,0.208163265306122,0.370659722222222,0.338915470494418,0.370464135021097,0.319873317498021,0.30958230958231,0.35632183908046,0.313546423135464,0.294729027468448,0.319105691056911,0.537373737373737,0.241379310344828
"17","LT",0.503822629969419,0.513597513597514,0.421286031042129,0.59180790960452,0.585604472396925,0.404712404712405,0.744186046511628,0.423213021939137,0.479331574318382,0.498158379373849,0.433159722222222,0.470252648736756,0.389937106918239,0.409127954360228,0.425316455696203,0.386831275720165,0.415593705293276,0.609289617486339,0.347916666666667
"18","LU",0.63302752293578,0.661691542288557,0.612211221122112,0.561702127659575,0.571827057182706,0.577586206896552,0.586394557823129,0.5379113018598,0.5787728026534,0.647266313932981,0.595744680851064,0.610032362459547,0.531531531531532,0.607944732297064,0.651162790697674,0.615023474178404,0.625570776255708,0.63550135501355,0.594516594516595
"19","LV",0.467407407407407,0.480238627889635,0.326133909287257,0.607503607503607,0.564265536723164,0.485815602836879,0.726114649681529,0.388405797101449,0.482456140350877,0.429553264604811,0.405761316872428,0.415458937198068,0.313455657492355,0.40274414850686,0.407825432656132,0.377049180327869,0.410541945063103,0.654910096818811,0.272270114942529
"20","MT",0.530805687203791,0.571865443425076,0.393939393939394,0.503030303030303,0.519345238095238,0.35575485799701,0.450340136054422,0.268217054263566,0.398936170212766,0.371859296482412,0.335078534031414,0.23739837398374,0.344236760124611,0.303333333333333,0.382716049382716,0.425641025641026,0.309734513274336,0.557971014492754,0.207810320781032
"21","NL",0.549645390070922,0.562597809076682,0.513513513513513,0.495951417004049,0.512925170068027,0.474769012082445,0.855909694555113,0.479385045422781,0.516862745098039,0.551155115511551,0.49085123309467,0.506144393241167,0.452771272443404,0.541008276899925,0.602102102102102,0.5467255334805,0.563440860215054,0.752206381534284,0.448770491803279
"22","PL",0.358737490377213,0.409090909090909,0.310889443059019,0.603988603988604,0.555090655509066,0.467541940189643,0.7527352297593,0.492170022371365,0.527306967984934,0.462100456621005,0.478303747534517,0.508920187793427,0.360134003350084,0.51310861423221,0.429590017825312,0.496062992125984,0.360619469026549,0.579348579348579,0.215932914046122
"23","PT",0.320781032078103,0.415746872700515,0.260127931769723,0.4789972899729,0.520746887966805,0.470833333333333,0.49867197875166,0.229508196721311,0.322727272727273,0.268700072621641,0.330917874396135,0.292372881355932,0.279358132749818,0.323325635103926,0.26827485380117,0.264040846097739,0.33125,0.435792349726776,0.154
"24","RO",0.454295532646048,0.501424501424501,0.398148148148148,0.528522336769759,0.540013917884481,0.519191919191919,0.296995108315863,0.207650273224044,0.406862745098039,0.421800947867299,0.401771336553945,0.390038314176245,0.353603603603604,0.385291766586731,0.318681318681319,0.323703703703704,0.33264887063655,0.547094188376753,0.225099601593625
"25","SE",0.621913580246914,0.505513146734521,0.514634146341463,0.567697594501718,0.546334716459198,0.50351617440225,0.850964737192282,0.553091397849462,0.551980198019802,0.505297473512632,0.518602885345482,0.48735632183908,0.430803571428571,0.539473684210526,0.629861111111111,0.572128851540616,0.663793103448276,0.836413415468857,0.596818810511757
"26","SI",0.279358132749818,0.365925925925926,0.23820395738204,0.454736842105263,0.428571428571429,0.320457796852647,0.598469032707029,0.252482269503546,0.3734335839599,0.388621794871795,0.315208825847124,0.353658536585366,0.280459770114942,0.271334792122538,0.346010439970172,0.352422907488987,0.328956965718454,0.590572390572391,0.268223637650389
"27","SK",0.378014184397163,0.495652173913043,0.271269177126918,0.441496598639456,0.423258958755916,0.377138945927447,0.501022494887526,0.219945355191257,0.462962962962963,0.362055933484505,0.395180722891566,0.34480122324159,0.234408602150538,0.239970824215901,0.346360153256705,0.365114560236511,0.330514446793517,0.600271002710027,0.237299930410578
